Category,System Name,System Code,Description,Features Count,Applications Count,Advantages Count,Specs Count,Materials,Page
Chain Conveyor,X65 Chain System,X65,Modular plastic belt conveyor system WL,0,0,0,0,"Plastic, Plastic",3
Chain Conveyor,X85 Chain System,X85,Modular plastic belt conveyor system WL,0,0,0,0,"Plastic, Plastic",3
Chain Conveyor,X65 Chain System,X65,pared to older systems. No special tools are needed.,0,0,0,1,,4
Chain Conveyor,X85 Chain System,X85,X45 vertical conveyor – Configuration strings.....................36,1,0,0,0,,5
Chain Conveyor,X65 Chain System,X65,Wheel bends XS ............................................................... 110,0,0,0,0,Steel,6
Chain Conveyor,X85 Chain System,X85,Divert modules ................................................................. 156,0,1,0,1,"Steel, Steel",6
Chain Conveyor,X65 Chain System,X65,"Bracket support components, Zinc................................... 322",0,0,0,1,,8
Chain Conveyor,X85 Chain System,X85,Door accessories...............................................................500,0,0,0,0,"Plastic, Steel, Steel",9
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,17
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,17
Chain Conveyor,X65 Chain System,X65,,1,1,0,0,,18
Chain Conveyor,X85 Chain System,X85,,1,1,0,1,,18
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,19
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,19
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,21
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,21
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,23
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,23
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,25
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,25
Chain Conveyor,X65 Chain System,X65,Conveyor component overview (continued),0,0,0,1,,26
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,27
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,27
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,29
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,29
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,31
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,31
Chain Conveyor,X65 Chain System,X65,"Tension/speed diagram, XS, X180/X300, XK conveyors",0,0,0,1,,32
Chain Conveyor,X85 Chain System,X85,"Tension/speed diagram, XS, X180/X300, XK conveyors",0,0,0,1,,32
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,33
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,33
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,35
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,35
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,37
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,37
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,39
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,39
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,41
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,41
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,43
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,43
Chain Conveyor,X85 Chain System,X85,,0,0,0,0,,44
Chain Conveyor,X65 Chain System,X65,,0,0,0,0,,45
